datetime,open,high,low,close,volume
2022-02-01 01:00:00,0.61723,0.63101,0.61186,0.62815,22922643.07395473
2022-02-02 01:00:00,0.62939,0.63161,0.59437,0.60129,19316016.90244732
2022-02-03 01:00:00,0.6017,0.61101,0.58921,0.61014,21226141.48917892
2022-02-04 01:00:00,0.61069,0.65957,0.60421,0.65537,44832329.72570906
2022-02-05 01:00:00,0.65699,0.68701,0.65028,0.66642,19898031.59126942
2022-02-06 01:00:00,0.6674,0.68767,0.6425,0.6841,14562159.49963245
2022-02-07 01:00:00,0.68521,0.83894,0.67201,0.83213,44971060.67675512
2022-02-08 01:00:00,0.83423,0.91506,0.79286,0.87457,76589775.1252909
2022-02-09 01:00:00,0.87735,0.91723,0.84479,0.8708,45602949.51679652
2022-02-10 01:00:00,0.87223,0.89723,0.82079,0.82543,36875888.31676428
2022-02-11 01:00:00,0.82557,0.83364,0.751,0.7594,38742995.50600294
2022-02-12 01:00:00,0.75983,0.8534,0.74602,0.82225,21392584.9920385
2022-02-13 01:00:00,0.8205,0.84723,0.79097,0.80533,13408967.56327369
2022-02-14 01:00:00,0.80814,0.81297,0.77777,0.80187,26306135.33326185
2022-02-15 01:00:00,0.80202,0.86023,0.79626,0.84971,23458978.50026922
2022-02-16 01:00:00,0.85181,0.85438,0.80887,0.8382,19581821.00475976
2022-02-17 01:00:00,0.83778,0.845,0.75423,0.7676,28122965.47801318
2022-02-18 01:00:00,0.76873,0.80523,0.75623,0.78463,33385059.24491435
2022-02-19 01:00:00,0.7836,0.85423,0.77023,0.82086,20881310.79098516
2022-02-20 01:00:00,0.82289,0.82354,0.765,0.77571,23208645.16070152
2022-02-21 01:00:00,0.77988,0.80146,0.69588,0.70254,35824083.98797225
2022-02-22 01:00:00,0.70303,0.7272,0.66888,0.7211,42596701.20744054
2022-02-23 01:00:00,0.72192,0.74426,0.693,0.69571,34091461.80691752
2022-02-24 01:00:00,0.69641,0.725,0.62158,0.69622,54040468.29546965
2022-02-25 01:00:00,0.69692,0.78123,0.68262,0.769,39318440.37579166
2022-02-26 01:00:00,0.77078,0.797,0.74123,0.75094,17856930.91642159
2022-02-27 01:00:00,0.75038,0.76723,0.70423,0.72121,27027685.82525165
2022-02-28 01:00:00,0.71698,0.79482,0.70823,0.78182,41091818.56742681
