datetime,symbol,open,high,low,close,volume
2023-03-01 01:00:00,BITSTAMP:XRPUSD,0.37617,0.38475,0.37237,0.38363,56472355.01395861
2023-03-02 01:00:00,BITSTAMP:XRPUSD,0.38362,0.38453,0.37368,0.37732,62291546.15436395
2023-03-03 01:00:00,BITSTAMP:XRPUSD,0.37733,0.38054,0.3546,0.37729,54787646.35015489
2023-03-04 01:00:00,BITSTAMP:XRPUSD,0.37718,0.37993,0.36816,0.37356,8603743.74795845
2023-03-05 01:00:00,BITSTAMP:XRPUSD,0.37321,0.37735,0.36554,0.3669,12728001.37815368
2023-03-06 01:00:00,BITSTAMP:XRPUSD,0.3668,0.37418,0.35914,0.36976,158891461.98579195
2023-03-07 01:00:00,BITSTAMP:XRPUSD,0.36946,0.38445,0.36689,0.3802,113786155.17944834
2023-03-08 01:00:00,BITSTAMP:XRPUSD,0.38023,0.40129,0.37231,0.3884,55983164.02991505
2023-03-09 01:00:00,BITSTAMP:XRPUSD,0.38899,0.39732,0.36404,0.37073,77512987.01749972
2023-03-10 01:00:00,BITSTAMP:XRPUSD,0.37062,0.37518,0.3574,0.37126,76061832.04860443
2023-03-11 01:00:00,BITSTAMP:XRPUSD,0.37125,0.37782,0.36078,0.36642,60520942.82787785
2023-03-12 01:00:00,BITSTAMP:XRPUSD,0.36641,0.37404,0.35154,0.37403,41662931.43588881
2023-03-13 01:00:00,BITSTAMP:XRPUSD,0.37412,0.38104,0.355,0.37372,182830666.90695572
2023-03-14 01:00:00,BITSTAMP:XRPUSD,0.37355,0.38843,0.36667,0.37306,52201321.38845615
2023-03-15 01:00:00,BITSTAMP:XRPUSD,0.37292,0.37739,0.357,0.36039,32961558.01855731
2023-03-16 01:00:00,BITSTAMP:XRPUSD,0.36018,0.3677,0.35777,0.36555,19289950.50301228
2023-03-17 01:00:00,BITSTAMP:XRPUSD,0.36527,0.383,0.36308,0.38095,28524324.22234932
2023-03-18 01:00:00,BITSTAMP:XRPUSD,0.38063,0.39032,0.37036,0.3747,10572195.32523197
2023-03-19 01:00:00,BITSTAMP:XRPUSD,0.37486,0.40105,0.37483,0.38697,12767186.17278321
2023-03-20 01:00:00,BITSTAMP:XRPUSD,0.38704,0.39231,0.37216,0.37477,34382160.16669604
2023-03-21 01:00:00,BITSTAMP:XRPUSD,0.37456,0.494,0.37444,0.4703,73988608.28144284
2023-03-22 01:00:00,BITSTAMP:XRPUSD,0.47044,0.47604,0.41011,0.42215,62127455.96184565
2023-03-23 01:00:00,BITSTAMP:XRPUSD,0.42235,0.45633,0.41261,0.44507,46288227.6991601
2023-03-24 01:00:00,BITSTAMP:XRPUSD,0.44475,0.44475,0.41466,0.42637,55809592.97980187
2023-03-25 01:00:00,BITSTAMP:XRPUSD,0.42654,0.46504,0.42344,0.44384,23095611.58545205
2023-03-26 01:00:00,BITSTAMP:XRPUSD,0.44355,0.46385,0.44145,0.44832,20030553.63415878
2023-03-27 02:00:00,BITSTAMP:XRPUSD,0.44825,0.48885,0.44281,0.48001,59735112.80616299
2023-03-28 02:00:00,BITSTAMP:XRPUSD,0.47922,0.53411,0.4669,0.51452,88999677.7346927
2023-03-29 02:00:00,BITSTAMP:XRPUSD,0.51452,0.58482,0.51452,0.54293,68743420.53186236
2023-03-30 02:00:00,BITSTAMP:XRPUSD,0.54258,0.55758,0.52182,0.5325,24296603.00354489
2023-03-31 02:00:00,BITSTAMP:XRPUSD,0.5319,0.54894,0.52696,0.538,20255792.3765074
