datetime,open,high,low,close,volume
2025-07-01 02:00:00,2.23614,2.25403,2.1479,2.1724,8283661.88893464
2025-07-02 02:00:00,2.17206,2.29237,2.158,2.23431,9314468.8345363
2025-07-03 02:00:00,2.23431,2.31467,2.22593,2.25749,7886557.00878498
2025-07-04 02:00:00,2.25729,2.26867,2.19778,2.22121,4817871.55182801
2025-07-05 02:00:00,2.22122,2.23432,2.20232,2.21841,1735684.9218876
2025-07-06 02:00:00,2.21837,2.28988,2.20975,2.27145,3197302.32119194
2025-07-07 02:00:00,2.27138,2.35335,2.25535,2.27087,8584189.77215398
2025-07-08 02:00:00,2.27027,2.32271,2.24881,2.31131,6079749.97137713
2025-07-09 02:00:00,2.311,2.42819,2.2984,2.40469,12328517.25768098
2025-07-10 02:00:00,2.4049,2.56893,2.39527,2.54745,17021316.52353539
2025-07-11 02:00:00,2.54531,2.97637,2.51179,2.73337,38793090.96055415
2025-07-12 02:00:00,2.73255,2.84812,2.66027,2.73981,18486060.4519798
2025-07-13 02:00:00,2.74028,2.89559,2.72465,2.83714,15941472.77969438
2025-07-14 02:00:00,2.8377,3.03481,2.82315,2.95958,28937615.35186537
2025-07-15 02:00:00,2.95868,2.95868,2.80378,2.91968,18410160.86199358
2025-07-16 02:00:00,2.91768,3.10213,2.87853,3.03954,17842027.83370345
2025-07-17 02:00:00,3.03937,3.55226,2.98856,3.48446,44176445.97646882
2025-07-18 02:00:00,3.48401,3.66596,3.34388,3.41643,38115088.8869041
2025-07-19 02:00:00,3.41515,3.48738,3.3561,3.42546,11700145.25780744
2025-07-20 02:00:00,3.42762,3.5586,3.38784,3.45724,18489363.87564402
2025-07-21 02:00:00,3.45305,3.65216,3.40912,3.5513,26931226.51166885
2025-07-22 02:00:00,3.55108,3.58076,3.42409,3.55233,25935444.97415086
2025-07-23 02:00:00,3.55237,3.55361,3.04651,3.18493,32022749.00174784
2025-07-24 02:00:00,3.18616,3.26754,2.95783,3.14704,27877967.0752819
2025-07-25 02:00:00,3.14708,3.16236,3.0,3.14269,25964331.8838176
2025-07-26 02:00:00,3.14172,3.21924,3.1095,3.16601,8565770.43918887
2025-07-27 02:00:00,3.16601,3.25176,3.157,3.23924,10676714.81569396
2025-07-28 02:00:00,3.24108,3.33127,3.105,3.12258,18854449.65084126
2025-07-29 02:00:00,3.12366,3.1849,3.05396,3.12767,12122866.95434087
2025-07-30 02:00:00,3.12788,3.16217,3.00057,3.09547,13838751.83143213
2025-07-31 02:00:00,3.09544,3.17786,3.00921,3.02223,13355326.84156394
