datetime,symbol,open,high,low,close,volume
2025-11-01 01:00:00,BITSTAMP:XRPUSD,2.50829,2.52155,2.38276,2.5043,8725449.9918349
2025-11-02 01:00:00,BITSTAMP:XRPUSD,2.50363,2.55269,2.47795,2.52752,9033098.44752968
2025-11-03 01:00:00,BITSTAMP:XRPUSD,2.52737,2.53167,2.2618,2.30866,31282661.1604081
2025-11-04 01:00:00,BITSTAMP:XRPUSD,2.30877,2.36451,2.06605,2.20485,44705891.19331673
2025-11-05 01:00:00,BITSTAMP:XRPUSD,2.20443,2.37636,2.10123,2.34303,29074078.3406352
2025-11-06 01:00:00,BITSTAMP:XRPUSD,2.34174,2.41467,2.17928,2.2118,23503298.49593605
2025-11-07 01:00:00,BITSTAMP:XRPUSD,2.21151,2.371,2.15214,2.3138,32447416.49398089
2025-11-08 01:00:00,BITSTAMP:XRPUSD,2.31515,2.33542,2.24251,2.28643,12394357.58122019
2025-11-09 01:00:00,BITSTAMP:XRPUSD,2.28523,2.40066,2.23715,2.36531,12889638.73489884
2025-11-10 01:00:00,BITSTAMP:XRPUSD,2.3653,2.58,2.33867,2.52521,24704543.19204301
2025-11-11 01:00:00,BITSTAMP:XRPUSD,2.52524,2.56842,2.37846,2.39053,15934495.38734024
2025-11-12 01:00:00,BITSTAMP:XRPUSD,2.3907,2.45358,2.3151,2.38688,21655759.98216073
2025-11-13 01:00:00,BITSTAMP:XRPUSD,2.38649,2.52571,2.26825,2.32063,31021490.34006175
2025-11-14 01:00:00,BITSTAMP:XRPUSD,2.32048,2.33874,2.22417,2.24243,54357735.91523573
2025-11-15 01:00:00,BITSTAMP:XRPUSD,2.24225,2.30123,2.21053,2.23547,11353284.88195775
2025-11-16 01:00:00,BITSTAMP:XRPUSD,2.23561,2.278,2.14947,2.21361,29121191.97052704
2025-11-17 01:00:00,BITSTAMP:XRPUSD,2.21318,2.30403,2.11198,2.16131,42316252.88672946
2025-11-18 01:00:00,BITSTAMP:XRPUSD,2.1617,2.24,2.083,2.21567,45524353.89668347
2025-11-19 01:00:00,BITSTAMP:XRPUSD,2.21579,2.21691,2.02398,2.10821,36037888.33768289
2025-11-20 01:00:00,BITSTAMP:XRPUSD,2.1074,2.14766,1.97315,1.99692,33171213.89097144
2025-11-21 01:00:00,BITSTAMP:XRPUSD,1.9969,2.02837,1.81796,1.94942,55263237.36001304
2025-11-22 01:00:00,BITSTAMP:XRPUSD,1.94994,1.96561,1.88799,1.94936,13998607.36131838
2025-11-23 01:00:00,BITSTAMP:XRPUSD,1.94968,2.0834,1.94888,2.04833,22662142.75549797
2025-11-24 01:00:00,BITSTAMP:XRPUSD,2.04774,2.28551,2.0233,2.22682,32893095.60686709
2025-11-25 01:00:00,BITSTAMP:XRPUSD,2.22657,2.26414,2.14697,2.19982,24137463.55057892
2025-11-26 01:00:00,BITSTAMP:XRPUSD,2.20125,2.25379,2.14413,2.22248,14470686.64246476
2025-11-27 01:00:00,BITSTAMP:XRPUSD,2.22247,2.2345,2.17249,2.20009,8166580.1362149
2025-11-28 01:00:00,BITSTAMP:XRPUSD,2.19944,2.27526,2.15677,2.1797,15647905.26241373
2025-11-29 01:00:00,BITSTAMP:XRPUSD,2.17982,2.22255,2.1671,2.20167,7025567.74939509
2025-11-30 01:00:00,BITSTAMP:XRPUSD,2.20166,2.21496,2.1524,2.15483,6686387.58439208
