datetime,symbol,open,high,low,close,volume
2024-10-01 02:00:00,BITSTAMP:XRPUSD,0.61125,0.634,0.57788,0.59695,11810766.91736487
2024-10-02 02:00:00,BITSTAMP:XRPUSD,0.59605,0.60622,0.5269,0.53864,21882495.12014155
2024-10-03 02:00:00,BITSTAMP:XRPUSD,0.53815,0.54444,0.507,0.52168,13835841.21042223
2024-10-04 02:00:00,BITSTAMP:XRPUSD,0.52168,0.53898,0.51495,0.53445,7440345.20990784
2024-10-05 02:00:00,BITSTAMP:XRPUSD,0.534,0.535,0.52635,0.52948,2107015.79315055
2024-10-06 02:00:00,BITSTAMP:XRPUSD,0.52972,0.53704,0.5284,0.53335,1697946.4564955
2024-10-07 02:00:00,BITSTAMP:XRPUSD,0.53335,0.54566,0.52867,0.52867,9081399.65940223
2024-10-08 02:00:00,BITSTAMP:XRPUSD,0.52936,0.53543,0.52098,0.53105,4806978.36395144
2024-10-09 02:00:00,BITSTAMP:XRPUSD,0.53128,0.53413,0.52071,0.52437,4386285.97693588
2024-10-10 02:00:00,BITSTAMP:XRPUSD,0.52427,0.54416,0.52263,0.52984,6928680.18408042
2024-10-11 02:00:00,BITSTAMP:XRPUSD,0.52982,0.54179,0.52919,0.53857,9636096.43018704
2024-10-12 02:00:00,BITSTAMP:XRPUSD,0.53857,0.543,0.53536,0.5394,4918594.86076843
2024-10-13 02:00:00,BITSTAMP:XRPUSD,0.53908,0.5394,0.525,0.53168,4773449.00740365
2024-10-14 02:00:00,BITSTAMP:XRPUSD,0.53184,0.552,0.52827,0.54826,8949572.30221033
2024-10-15 02:00:00,BITSTAMP:XRPUSD,0.54824,0.55517,0.53169,0.54168,8935578.39186299
2024-10-16 02:00:00,BITSTAMP:XRPUSD,0.54161,0.55428,0.53755,0.54829,5892448.87888154
2024-10-17 02:00:00,BITSTAMP:XRPUSD,0.54814,0.56626,0.54182,0.54365,5125983.23493915
2024-10-18 02:00:00,BITSTAMP:XRPUSD,0.54371,0.55269,0.53972,0.54671,6623250.07602696
2024-10-19 02:00:00,BITSTAMP:XRPUSD,0.54652,0.5496,0.54081,0.5443,5331530.74285179
2024-10-20 02:00:00,BITSTAMP:XRPUSD,0.54413,0.54873,0.5368,0.54785,2254454.98912611
2024-10-21 02:00:00,BITSTAMP:XRPUSD,0.54829,0.56007,0.54093,0.54437,7303649.34494002
2024-10-22 02:00:00,BITSTAMP:XRPUSD,0.54466,0.549,0.52888,0.53312,4717034.45377756
2024-10-23 02:00:00,BITSTAMP:XRPUSD,0.53342,0.53352,0.51117,0.52535,5906672.68342163
2024-10-24 02:00:00,BITSTAMP:XRPUSD,0.52536,0.53337,0.52378,0.53184,3849076.69127515
2024-10-25 02:00:00,BITSTAMP:XRPUSD,0.53168,0.53168,0.486,0.5014,7568626.86201044
2024-10-26 02:00:00,BITSTAMP:XRPUSD,0.50073,0.5145,0.49812,0.51277,5300241.08499477
2024-10-27 02:00:00,BITSTAMP:XRPUSD,0.51231,0.51727,0.51011,0.51628,7918473.28560945
2024-10-28 01:00:00,BITSTAMP:XRPUSD,0.51615,0.52086,0.511,0.51908,7724220.78704132
2024-10-29 01:00:00,BITSTAMP:XRPUSD,0.5188,0.53058,0.51818,0.52833,13885914.42076447
2024-10-30 01:00:00,BITSTAMP:XRPUSD,0.52833,0.52833,0.5191,0.52294,6972226.62983859
2024-10-31 01:00:00,BITSTAMP:XRPUSD,0.52308,0.52344,0.50293,0.50888,3975710.82565021
