datetime,open,high,low,close,volume
2024-09-01 02:00:00,0.56611,0.56632,0.54368,0.54768,3170333.81789979
2024-09-02 02:00:00,0.54701,0.56863,0.54476,0.5677,5277374.35563728
2024-09-03 02:00:00,0.56734,0.5722,0.55645,0.55645,4979553.76968505
2024-09-04 02:00:00,0.55678,0.56453,0.53292,0.55789,5555616.92993585
2024-09-05 02:00:00,0.55792,0.55948,0.53999,0.54436,5172892.60225978
2024-09-06 02:00:00,0.54464,0.547,0.50263,0.52106,14857120.85980838
2024-09-07 02:00:00,0.52052,0.53256,0.51965,0.52486,3079840.16432195
2024-09-08 02:00:00,0.5249,0.53136,0.521,0.5294,2973390.36965514
2024-09-09 02:00:00,0.52927,0.543,0.52668,0.5399,4722843.64551855
2024-09-10 02:00:00,0.5394,0.54288,0.53361,0.54077,3456836.09386548
2024-09-11 02:00:00,0.54058,0.54058,0.52336,0.53497,3962895.62787792
2024-09-12 02:00:00,0.53468,0.588,0.53367,0.5628,6804113.17470208
2024-09-13 02:00:00,0.56274,0.5746,0.55576,0.57277,5860661.61902541
2024-09-14 02:00:00,0.57309,0.5994,0.57092,0.5964,7140097.79546302
2024-09-15 02:00:00,0.595,0.595,0.56913,0.57026,2995187.30407564
2024-09-16 02:00:00,0.57042,0.59128,0.5599,0.58656,5093804.32974472
2024-09-17 02:00:00,0.58649,0.59327,0.579,0.58438,5435246.33450529
2024-09-18 02:00:00,0.58361,0.58568,0.56234,0.58557,8492359.51049087
2024-09-19 02:00:00,0.5853,0.59465,0.58137,0.58725,9569975.59380624
2024-09-20 02:00:00,0.5869,0.59246,0.57651,0.5855,4548992.71071877
2024-09-21 02:00:00,0.58504,0.61292,0.58028,0.59844,3606874.89334176
2024-09-22 02:00:00,0.59772,0.605,0.578,0.58732,2949658.63448147
2024-09-23 02:00:00,0.58736,0.59522,0.579,0.58489,4881782.46470044
2024-09-24 02:00:00,0.58451,0.59269,0.58173,0.5915,9399681.71721601
2024-09-25 02:00:00,0.59129,0.595,0.5826,0.58305,7547208.66814964
2024-09-26 02:00:00,0.58283,0.59622,0.57459,0.59068,10837803.19816827
2024-09-27 02:00:00,0.5905,0.59718,0.58268,0.58858,8076006.11941872
2024-09-28 02:00:00,0.58902,0.6259,0.58578,0.61444,17016209.76463851
2024-09-29 02:00:00,0.61392,0.665,0.6075,0.64132,14647662.86951192
2024-09-30 02:00:00,0.64129,0.65406,0.60242,0.61122,10706468.40825907
