datetime,symbol,open,high,low,close,volume
2025-04-01 02:00:00,BITSTAMP:XRPUSD,2.08875,2.19813,2.06512,2.1383,23321845.20050708
2025-04-02 02:00:00,BITSTAMP:XRPUSD,2.13865,2.235,1.98485,2.02352,20409220.27103328
2025-04-03 02:00:00,BITSTAMP:XRPUSD,2.02349,2.08085,1.95944,2.0624,13105552.12781915
2025-04-04 02:00:00,BITSTAMP:XRPUSD,2.06365,2.1594,2.01707,2.12846,10367376.44328875
2025-04-05 02:00:00,BITSTAMP:XRPUSD,2.12809,2.17558,2.11242,2.14412,5336116.9354131
2025-04-06 02:00:00,BITSTAMP:XRPUSD,2.14352,2.15793,1.86057,1.92127,16886713.54379429
2025-04-07 02:00:00,BITSTAMP:XRPUSD,1.92078,2.00994,1.61184,1.89584,46243234.42610588
2025-04-08 02:00:00,BITSTAMP:XRPUSD,1.8979,1.97428,1.77637,1.79462,20287829.4542992
2025-04-09 02:00:00,BITSTAMP:XRPUSD,1.79592,2.09,1.72069,2.05176,26734238.64278379
2025-04-10 02:00:00,BITSTAMP:XRPUSD,2.05528,2.05578,1.92081,1.96565,14738105.87097255
2025-04-11 02:00:00,BITSTAMP:XRPUSD,1.96414,2.06354,1.94605,2.02171,10232770.48409254
2025-04-12 02:00:00,BITSTAMP:XRPUSD,2.02185,2.18802,2.00269,2.16042,11023677.46393508
2025-04-13 02:00:00,BITSTAMP:XRPUSD,2.15945,2.24611,2.08001,2.11776,12309326.97014932
2025-04-14 02:00:00,BITSTAMP:XRPUSD,2.11625,2.17973,2.104,2.12646,11334923.62055245
2025-04-15 02:00:00,BITSTAMP:XRPUSD,2.12737,2.18457,2.084,2.084,11544232.15840867
2025-04-16 02:00:00,BITSTAMP:XRPUSD,2.08404,2.1289,2.03445,2.08313,12990365.97729211
2025-04-17 02:00:00,BITSTAMP:XRPUSD,2.08244,2.11364,2.05299,2.06736,7632566.06346105
2025-04-18 02:00:00,BITSTAMP:XRPUSD,2.06732,2.08927,2.04401,2.06199,4621740.64547713
2025-04-19 02:00:00,BITSTAMP:XRPUSD,2.06098,2.09726,2.05852,2.08754,6687032.29114743
2025-04-20 02:00:00,BITSTAMP:XRPUSD,2.08635,2.09395,2.04,2.07835,4573880.89978905
2025-04-21 02:00:00,BITSTAMP:XRPUSD,2.07781,2.14146,2.0596,2.08523,7433328.34287615
2025-04-22 02:00:00,BITSTAMP:XRPUSD,2.08527,2.25,2.06713,2.21404,14145547.20889166
2025-04-23 02:00:00,BITSTAMP:XRPUSD,2.21657,2.30133,2.19012,2.21882,14055178.5933183
2025-04-24 02:00:00,BITSTAMP:XRPUSD,2.21848,2.23409,2.11923,2.20574,12182220.48408991
2025-04-25 02:00:00,BITSTAMP:XRPUSD,2.20595,2.22,2.1652,2.1828,10234390.56979975
2025-04-26 02:00:00,BITSTAMP:XRPUSD,2.18335,2.2492,2.18068,2.19204,3563471.94272463
2025-04-27 02:00:00,BITSTAMP:XRPUSD,2.19234,2.29576,2.16048,2.25312,6630293.06250824
2025-04-28 02:00:00,BITSTAMP:XRPUSD,2.25251,2.36216,2.2202,2.29532,12512057.31104002
2025-04-29 02:00:00,BITSTAMP:XRPUSD,2.29603,2.3149,2.22234,2.23901,6944890.25587086
2025-04-30 02:00:00,BITSTAMP:XRPUSD,2.23869,2.25958,2.12468,2.19102,8522018.59388787
