datetime,symbol,open,high,low,close,volume
2025-10-01 02:00:00,BITSTAMP:XRPUSD,2.84668,2.96254,2.81508,2.95005,16235064.59984681
2025-10-02 02:00:00,BITSTAMP:XRPUSD,2.95059,3.10367,2.94202,3.04052,25097108.59876584
2025-10-03 02:00:00,BITSTAMP:XRPUSD,3.04092,3.09686,2.99795,3.04106,16964468.57642251
2025-10-04 02:00:00,BITSTAMP:XRPUSD,3.04215,3.0548,2.94046,2.97001,11172818.19162439
2025-10-05 02:00:00,BITSTAMP:XRPUSD,2.96984,3.07158,2.94763,2.97052,12274550.49503334
2025-10-06 02:00:00,BITSTAMP:XRPUSD,2.97054,3.05143,2.95658,2.98892,13301926.2710955
2025-10-07 02:00:00,BITSTAMP:XRPUSD,2.98892,3.00219,2.85045,2.85315,21903922.38417252
2025-10-08 02:00:00,BITSTAMP:XRPUSD,2.85361,2.9262,2.832,2.88012,17799819.38485764
2025-10-09 02:00:00,BITSTAMP:XRPUSD,2.88042,2.8809,2.77369,2.80352,20204185.13049422
2025-10-10 02:00:00,BITSTAMP:XRPUSD,2.80332,2.83782,1.58,2.37404,39849768.56025706
2025-10-11 02:00:00,BITSTAMP:XRPUSD,2.37507,2.50896,2.3,2.38452,42550849.68118978
2025-10-12 02:00:00,BITSTAMP:XRPUSD,2.38452,2.58567,2.31426,2.53096,33895411.06859908
2025-10-13 02:00:00,BITSTAMP:XRPUSD,2.5308,2.6479,2.51619,2.60673,32931588.43062237
2025-10-14 02:00:00,BITSTAMP:XRPUSD,2.60656,2.62234,2.39083,2.50497,28145913.05311334
2025-10-15 02:00:00,BITSTAMP:XRPUSD,2.50419,2.5491,2.37726,2.41212,23790471.15251848
2025-10-16 02:00:00,BITSTAMP:XRPUSD,2.41228,2.46675,2.28464,2.32806,24415300.12190944
2025-10-17 02:00:00,BITSTAMP:XRPUSD,2.32807,2.40023,2.1894,2.29412,35906873.07678878
2025-10-18 02:00:00,BITSTAMP:XRPUSD,2.29462,2.39252,2.29016,2.36029,12275406.63292794
2025-10-19 02:00:00,BITSTAMP:XRPUSD,2.36003,2.42054,2.3185,2.39147,12481901.11674853
2025-10-20 02:00:00,BITSTAMP:XRPUSD,2.39095,2.5538,2.3559,2.49572,22209204.8504226
2025-10-21 02:00:00,BITSTAMP:XRPUSD,2.49532,2.53307,2.4025,2.42335,30537961.57509347
2025-10-22 02:00:00,BITSTAMP:XRPUSD,2.42265,2.43878,2.32619,2.36478,22347848.9730216
2025-10-23 02:00:00,BITSTAMP:XRPUSD,2.36492,2.42637,2.33699,2.395,13692209.47435531
2025-10-24 02:00:00,BITSTAMP:XRPUSD,2.39556,2.51544,2.38753,2.51075,14460474.41896117
2025-10-25 02:00:00,BITSTAMP:XRPUSD,2.51012,2.65277,2.50322,2.59631,13304784.05299764
2025-10-26 02:00:00,BITSTAMP:XRPUSD,2.59643,2.66186,2.59297,2.64634,13043193.79627329
2025-10-27 01:00:00,BITSTAMP:XRPUSD,2.64584,2.6967,2.60101,2.63403,14210100.06902749
2025-10-28 01:00:00,BITSTAMP:XRPUSD,2.63386,2.68859,2.5677,2.60437,19771393.46753939
2025-10-29 01:00:00,BITSTAMP:XRPUSD,2.6032,2.66381,2.53378,2.55044,15797291.80651697
2025-10-30 01:00:00,BITSTAMP:XRPUSD,2.55004,2.59384,2.37625,2.43899,24029558.57969445
2025-10-31 01:00:00,BITSTAMP:XRPUSD,2.43764,2.55241,2.43426,2.50829,16886858.28936994
